id,title,company,description,category,skills_required,education_required,work_mode,location_state,location_district,salary_min,salary_max,eligibility_age_min,eligibility_age_max,eligibility_gender,eligibility_income_max,eligibility_state,seats,skills_str,combined_text
job_001,Tailoring and Garment Production Supervisor,Mahila Vikas Udyog,"Supervise rural women tailoring self-help groups, organize pattern making, cutting, stitching quality control, and garment finishing for export orders.",Tailoring,"['Sewing', 'Embroidery', 'Pattern Making', 'Quality Control', 'Team Management']",Secondary (Class 9-10),onsite,Maharashtra,Pune,12000,18000,20,50,female,300000,"['Maharashtra', 'All']",5,Sewing Embroidery Pattern Making Quality Control Team Management,"Tailoring and Garment Production Supervisor Mahila Vikas Udyog Supervise rural women tailoring self-help groups, organize pattern making, cutting, stitching quality control, and garment finishing for export orders. Tailoring Secondary (Class 9-10) onsite Maharashtra Sewing Embroidery Pattern Making Quality Control Team Management"
job_002,Digital Marketing & Social Commerce Assistant,Rural Artisans Craft Connect,"Assist rural artisan groups and handloom weavers in cataloging products, managing WhatsApp Business, Instagram store, and online order processing.",IT,"['Digital Marketing', 'Social Media', 'Computer Basics', 'MS Office', 'Customer Service']",Higher Secondary (Class 11-12),remote,All,Remote,14000,22000,18,40,all,350000,['All'],10,Digital Marketing Social Media Computer Basics MS Office Customer Service,"Digital Marketing & Social Commerce Assistant Rural Artisans Craft Connect Assist rural artisan groups and handloom weavers in cataloging products, managing WhatsApp Business, Instagram store, and online order processing. IT Higher Secondary (Class 11-12) remote All Digital Marketing Social Media Computer Basics MS Office Customer Service"
job_003,Organic Agriculture & SHG Field Facilitator,Kisan Pragati Federation,"Guide women farmer producer organizations (FPOs) in organic fertilizer preparation, crop rotation, soil health testing, and government subsidy paperwork.",Agriculture,"['Farming', 'Organic Agriculture', 'Community Mobilization', 'Record Keeping']",Secondary (Class 9-10),onsite,Uttar Pradesh,Varanasi,9000,14000,21,55,all,250000,"['Uttar Pradesh', 'Bihar']",8,Farming Organic Agriculture Community Mobilization Record Keeping,"Organic Agriculture & SHG Field Facilitator Kisan Pragati Federation Guide women farmer producer organizations (FPOs) in organic fertilizer preparation, crop rotation, soil health testing, and government subsidy paperwork. Agriculture Secondary (Class 9-10) onsite Uttar Pradesh Farming Organic Agriculture Community Mobilization Record Keeping"
job_004,Community Health Educator (ASHA Facilitator),Swasthya Kalyan Trust,"Conduct maternal and child health awareness drives, coordinate village health days, assist in immunization drives and maternal nutrition counseling.",Healthcare,"['Healthcare', 'Maternal Care', 'First Aid', 'Communication', 'Counseling']",Secondary (Class 9-10),onsite,Rajasthan,Jaipur,8500,12500,25,50,female,200000,"['Rajasthan', 'Haryana']",12,Healthcare Maternal Care First Aid Communication Counseling,"Community Health Educator (ASHA Facilitator) Swasthya Kalyan Trust Conduct maternal and child health awareness drives, coordinate village health days, assist in immunization drives and maternal nutrition counseling. Healthcare Secondary (Class 9-10) onsite Rajasthan Healthcare Maternal Care First Aid Communication Counseling"
job_005,Remote Data Entry & Document Verifier,Digital Bharat Services,"Enter surveyed census and scheme enrollment forms into government portals, verify documents, and generate beneficiary reports.",IT,"['Data Entry', 'Computer Basics', 'MS Office', 'Typing', 'Attention to Detail']",Higher Secondary (Class 11-12),remote,All,Remote,10000,16000,18,45,all,300000,['All'],25,Data Entry Computer Basics MS Office Typing Attention to Detail,"Remote Data Entry & Document Verifier Digital Bharat Services Enter surveyed census and scheme enrollment forms into government portals, verify documents, and generate beneficiary reports. IT Higher Secondary (Class 11-12) remote All Data Entry Computer Basics MS Office Typing Attention to Detail"
job_006,Traditional Handicraft Designer & Trainer,Hastkala Vikas Kendra,"Design modern handicraft products using traditional block print, zardozi embroidery, jute craft, and terracotta. Train women in SHGs for bulk production.",Handicrafts,"['Handicrafts', 'Embroidery', 'Textile Design', 'Art & Craft', 'Training']",No Formal Education,onsite,Gujarat,Ahmedabad,11000,17000,18,60,female,250000,"['Gujarat', 'Rajasthan', 'Madhya Pradesh']",6,Handicrafts Embroidery Textile Design Art & Craft Training,"Traditional Handicraft Designer & Trainer Hastkala Vikas Kendra Design modern handicraft products using traditional block print, zardozi embroidery, jute craft, and terracotta. Train women in SHGs for bulk production. Handicrafts No Formal Education onsite Gujarat Handicrafts Embroidery Textile Design Art & Craft Training"
job_007,Village Banking Correspondent & Financial Counselor,Grameen Microfinance Corporation,"Assist rural citizens with Aadhaar Enabled Payment System (AEPS), micro-deposits, micro-insurance enrollments, and SHG bank linkages.",Finance,"['Mobile Banking', 'Accounting', 'Customer Service', 'Financial Literacy', 'Basic Math']",Higher Secondary (Class 11-12),onsite,Madhya Pradesh,Bhopal,10500,15000,21,45,all,250000,"['Madhya Pradesh', 'Chhattisgarh']",15,Mobile Banking Accounting Customer Service Financial Literacy Basic Math,"Village Banking Correspondent & Financial Counselor Grameen Microfinance Corporation Assist rural citizens with Aadhaar Enabled Payment System (AEPS), micro-deposits, micro-insurance enrollments, and SHG bank linkages. Finance Higher Secondary (Class 11-12) onsite Madhya Pradesh Mobile Banking Accounting Customer Service Financial Literacy Basic Math"
job_008,Early Childhood Education Teacher (Balwadi),Nanhi Kali Educational Society,"Teach foundational literacy and numeracy to rural preschool children using activity-based learning, storytelling, and phonetics in mother tongue.",Education,"['Teaching', 'Child Psychology', 'Storytelling', 'Classroom Management']",Secondary (Class 9-10),onsite,Tamil Nadu,Madurai,9000,13000,20,45,female,250000,"['Tamil Nadu', 'Karnataka', 'Kerala']",10,Teaching Child Psychology Storytelling Classroom Management,"Early Childhood Education Teacher (Balwadi) Nanhi Kali Educational Society Teach foundational literacy and numeracy to rural preschool children using activity-based learning, storytelling, and phonetics in mother tongue. Education Secondary (Class 9-10) onsite Tamil Nadu Teaching Child Psychology Storytelling Classroom Management"
job_009,Food Processing & Quality Technician,Shree Ann Millet Producers Consortium,"Oversee packaging, dehydration, grading, and FSSAI standard compliance for millet flours, cookies, and organic snacks produced by women SHGs.",Food Processing,"['Food Processing', 'Cooking', 'Quality Control', 'Packaging', 'Hygiene Standards']",Secondary (Class 9-10),onsite,Karnataka,Bengaluru Rural,11000,16500,18,50,all,300000,"['Karnataka', 'Andhra Pradesh']",7,Food Processing Cooking Quality Control Packaging Hygiene Standards,"Food Processing & Quality Technician Shree Ann Millet Producers Consortium Oversee packaging, dehydration, grading, and FSSAI standard compliance for millet flours, cookies, and organic snacks produced by women SHGs. Food Processing Secondary (Class 9-10) onsite Karnataka Food Processing Cooking Quality Control Packaging Hygiene Standards"
job_010,Solar Lighting & Home Appliance Repair Technician,Surya Shakti Renewable Energy,"Installation, inspection, and maintenance of decentralized rooftop solar home systems, LED bulbs, and solar water heaters in rural households.",Technical,"['Solar Equipment Maintenance', 'Electrical Basics', 'Troubleshooting', 'Tools Handling']",Secondary (Class 9-10),onsite,Jharkhand,Ranchi,12500,19000,19,42,all,250000,"['Jharkhand', 'Odisha', 'West Bengal']",12,Solar Equipment Maintenance Electrical Basics Troubleshooting Tools Handling,"Solar Lighting & Home Appliance Repair Technician Surya Shakti Renewable Energy Installation, inspection, and maintenance of decentralized rooftop solar home systems, LED bulbs, and solar water heaters in rural households. Technical Secondary (Class 9-10) onsite Jharkhand Solar Equipment Maintenance Electrical Basics Troubleshooting Tools Handling"
