id,title,provider,description,category,skills_taught,duration,mode,language,certification,is_free,fee,location_state,location_district,eligibility_age_min,eligibility_age_max,eligibility_gender,seats,skills_str,langs_str,combined_text
crs_001,NSDC Certified Professional Tailoring & Garment Construction,National Skill Development Corporation (NSDC),"Complete professional certificate course covering measurement, industrial machine operation, pattern grading, western & traditional garment tailoring, and enterprise startup.",Tailoring,"['Sewing', 'Embroidery', 'Pattern Making', 'Fashion Design', 'Machine Maintenance']",12 weeks,offline,"['Hindi', 'Marathi', 'English']",True,True,0,Maharashtra,Pune,16,55,female,30,Sewing Embroidery Pattern Making Fashion Design Machine Maintenance,Hindi Marathi English,"NSDC Certified Professional Tailoring & Garment Construction National Skill Development Corporation (NSDC) Complete professional certificate course covering measurement, industrial machine operation, pattern grading, western & traditional garment tailoring, and enterprise startup. Tailoring 12 weeks offline Sewing Embroidery Pattern Making Fashion Design Machine Maintenance Hindi Marathi English"
crs_002,"Digital Literacy, Smartphone Banking & UPI Essentials",Pradhan Mantri Gramin Digital Saksharta Abhiyan (PMGDISHA),"Government accredited foundation course in smartphone handling, UPI payments, BHIM, digilocker, safety against cyber fraud, and online public services access.",Digital Literacy,"['Computer Basics', 'Mobile Banking', 'Digital Marketing', 'Cyber Safety']",2 weeks,online,"['Hindi', 'English', 'Marathi', 'Telugu', 'Tamil', 'Bengali']",True,True,0,All,Online,14,65,all,1000,Computer Basics Mobile Banking Digital Marketing Cyber Safety,Hindi English Marathi Telugu Tamil Bengali,"Digital Literacy, Smartphone Banking & UPI Essentials Pradhan Mantri Gramin Digital Saksharta Abhiyan (PMGDISHA) Government accredited foundation course in smartphone handling, UPI payments, BHIM, digilocker, safety against cyber fraud, and online public services access. Digital Literacy 2 weeks online Computer Basics Mobile Banking Digital Marketing Cyber Safety Hindi English Marathi Telugu Tamil Bengali"
crs_003,Micro-Enterprise Incubation & Business Startup for Women,"National Institute of Micro, Small and Medium Enterprises (NI-MSME)","Comprehensive entrepreneurship curriculum: identifying business ideas, Mudra loan applications, cash flow management, pricing, packaging, and marketing via SHG federations.",Finance,"['Accounting', 'Digital Marketing', 'Business Planning', 'Financial Literacy']",6 weeks,hybrid,"['Hindi', 'English']",True,True,0,All,All,18,60,female,250,Accounting Digital Marketing Business Planning Financial Literacy,Hindi English,"Micro-Enterprise Incubation & Business Startup for Women National Institute of Micro, Small and Medium Enterprises (NI-MSME) Comprehensive entrepreneurship curriculum: identifying business ideas, Mudra loan applications, cash flow management, pricing, packaging, and marketing via SHG federations. Finance 6 weeks hybrid Accounting Digital Marketing Business Planning Financial Literacy Hindi English"
crs_004,"Organic Farming, Bio-Fertilizers & Kitchen Garden Management",ICAR - Krishi Vigyan Kendra,"Practical training in vermicomposting, zero-budget natural farming, organic pest management, drip irrigation setup, and selling organic produce at farmers markets.",Agriculture,"['Farming', 'Organic Agriculture', 'Soil Health', 'Water Conservation']",4 weeks,offline,"['Hindi', 'Bengali', 'Bhojpuri']",True,True,0,Uttar Pradesh,Varanasi,18,65,all,40,Farming Organic Agriculture Soil Health Water Conservation,Hindi Bengali Bhojpuri,"Organic Farming, Bio-Fertilizers & Kitchen Garden Management ICAR - Krishi Vigyan Kendra Practical training in vermicomposting, zero-budget natural farming, organic pest management, drip irrigation setup, and selling organic produce at farmers markets. Agriculture 4 weeks offline Farming Organic Agriculture Soil Health Water Conservation Hindi Bengali Bhojpuri"
crs_005,"Front-Office Data Entry, MS Office & Business Communication",Skill India Mission,"Intensive hands-on training in fast touch-typing, Microsoft Word, Excel spreadsheets, Google Workspace, email etiquette, and remote office coordination.",IT,"['Data Entry', 'MS Office', 'Computer Basics', 'Communication']",8 weeks,online,"['Hindi', 'English']",True,False,350,All,Online,16,40,all,150,Data Entry MS Office Computer Basics Communication,Hindi English,"Front-Office Data Entry, MS Office & Business Communication Skill India Mission Intensive hands-on training in fast touch-typing, Microsoft Word, Excel spreadsheets, Google Workspace, email etiquette, and remote office coordination. IT 8 weeks online Data Entry MS Office Computer Basics Communication Hindi English"
crs_006,"Traditional Block Printing, Natural Dyeing & Textile Crafts",National Institute of Design & Development,"Learn ancestral wooden block printing techniques, vegetable and eco-friendly dyeing, fabric preparation, and design contemporary scarves, sarees, and home linen.",Handicrafts,"['Handicrafts', 'Embroidery', 'Dyeing', 'Textile Design']",6 weeks,offline,"['Hindi', 'Gujarati']",True,True,0,Gujarat,Ahmedabad,16,60,female,25,Handicrafts Embroidery Dyeing Textile Design,Hindi Gujarati,"Traditional Block Printing, Natural Dyeing & Textile Crafts National Institute of Design & Development Learn ancestral wooden block printing techniques, vegetable and eco-friendly dyeing, fabric preparation, and design contemporary scarves, sarees, and home linen. Handicrafts 6 weeks offline Handicrafts Embroidery Dyeing Textile Design Hindi Gujarati"
crs_007,Community Nursing Assistant & Maternal Child Care Training,Red Cross & National Health Mission,"First aid, patient hygiene, temperature and blood pressure monitoring, maternal post-natal care, elder care assistance, and emergency response in rural communities.",Healthcare,"['Healthcare', 'First Aid', 'Maternal Care', 'Patient Assistance']",16 weeks,offline,"['Hindi', 'English']",True,True,0,Rajasthan,Jaipur,18,45,female,35,Healthcare First Aid Maternal Care Patient Assistance,Hindi English,"Community Nursing Assistant & Maternal Child Care Training Red Cross & National Health Mission First aid, patient hygiene, temperature and blood pressure monitoring, maternal post-natal care, elder care assistance, and emergency response in rural communities. Healthcare 16 weeks offline Healthcare First Aid Maternal Care Patient Assistance Hindi English"
crs_008,"Millet Value Addition, Bakery & Food Processing Certification",Central Food Technological Research Institute (CFTRI),"Processing ragi, jowar, and bajra into value-added baked products, extrusion snacks, shelf-life extension techniques, nutritional labeling, and food safety hygiene.",Food Processing,"['Food Processing', 'Cooking', 'Packaging', 'Quality Control']",5 weeks,offline,"['Kannada', 'Hindi', 'English']",True,False,499,Karnataka,Bengaluru,18,55,all,30,Food Processing Cooking Packaging Quality Control,Kannada Hindi English,"Millet Value Addition, Bakery & Food Processing Certification Central Food Technological Research Institute (CFTRI) Processing ragi, jowar, and bajra into value-added baked products, extrusion snacks, shelf-life extension techniques, nutritional labeling, and food safety hygiene. Food Processing 5 weeks offline Food Processing Cooking Packaging Quality Control Kannada Hindi English"
crs_009,Social Media Marketing & E-Commerce Store Management,Google Digital Unlocked & NSDC,"Learn to photograph handcrafted products with smartphone, write captivating captions, setup Amazon Karigar/Flipkart Samarth accounts, and run Facebook ad campaigns.",IT,"['Digital Marketing', 'Social Media', 'Photography', 'Customer Service']",4 weeks,online,"['Hindi', 'English', 'Tamil', 'Telugu']",True,True,0,All,Online,16,50,all,500,Digital Marketing Social Media Photography Customer Service,Hindi English Tamil Telugu,"Social Media Marketing & E-Commerce Store Management Google Digital Unlocked & NSDC Learn to photograph handcrafted products with smartphone, write captivating captions, setup Amazon Karigar/Flipkart Samarth accounts, and run Facebook ad campaigns. IT 4 weeks online Digital Marketing Social Media Photography Customer Service Hindi English Tamil Telugu"
crs_010,Solar Photovoltaic Rooftop Technician (Surya Mitra),Skill Council for Green Jobs (SCGJ),"Hands-on training in solar panel alignment, battery bank wiring, inverters, safety gear, multimeter testing, and routine maintenance of solar off-grid setups.",Technical,"['Solar Equipment Maintenance', 'Electrical Basics', 'Troubleshooting']",12 weeks,offline,"['Hindi', 'English']",True,True,0,Jharkhand,Ranchi,18,35,all,30,Solar Equipment Maintenance Electrical Basics Troubleshooting,Hindi English,"Solar Photovoltaic Rooftop Technician (Surya Mitra) Skill Council for Green Jobs (SCGJ) Hands-on training in solar panel alignment, battery bank wiring, inverters, safety gear, multimeter testing, and routine maintenance of solar off-grid setups. Technical 12 weeks offline Solar Equipment Maintenance Electrical Basics Troubleshooting Hindi English"
